Tanggal,Kabupaten,Nama RS,Triase Merah,Triase Kuning,Triase Hijau,Triase Hitam,Total
2026-08-20,Sikka,RSUD dr. TC Hillers Maumere,1,3,0,0,4
2026-08-20,Manggarai Timur,RSUD Borong,12,17,8,1,38
2026-08-20,Manggarai,RSUD Ruteng,2,8,1,0,11
2026-08-20,Ngada,RSUD Bajawa,0,3,0,0,3
2026-08-20,Nagekeo,RSUD Aeramo,3,2,0,0,5
2026-08-20,Ende,RSUD Ende,1,7,0,0,8
2026-08-20,Manggarai Barat,RSUD Komodo,0,9,0,0,9
2026-08-21,Sikka,RSUD dr. TC Hillers Maumere,2,3,0,0,5
2026-08-21,Manggarai Timur,RSUD Borong,12,22,12,1,47
2026-08-21,Manggarai,RSUD Ruteng,0,2,1,0,3
2026-08-21,Ngada,RSUD Bajawa,0,3,0,0,3
2026-08-21,Nagekeo,RSUD Aeramo,3,0,0,0,3
2026-08-21,Ende,RSUD Ende,1,9,0,0,10
2026-08-21,Manggarai Barat,RSUD Komodo,0,6,0,0,6

