Tanggal,Waktu,Kabupaten,Populasi Terdampak,Meninggal,Luka Berat,Luka Ringan,Pengungsi,Titik Pengungsian
2026-08-20,20.00 WIB,Sikka,350715,6,23,32,1972,9
2026-08-20,20.00 WIB,Manggarai Timur,313876,26,239,404,19330,246
2026-08-20,20.00 WIB,Manggarai,340153,27,32,104,10083,14
2026-08-20,20.00 WIB,Ngada,176462,2,17,19,1333,27
2026-08-20,20.00 WIB,Nagekeo,170669,13,13,9,6221,70
2026-08-20,20.00 WIB,Ende,284165,2,5,67,3144,25
2026-08-20,20.00 WIB,Manggarai Barat,281692,2,2,4,1603,9
2026-08-21,10.01 WIB,Sikka,350715,6,23,32,1972,9
2026-08-21,10.01 WIB,Manggarai Timur,313876,26,239,404,19330,246
2026-08-21,10.01 WIB,Manggarai,340153,27,32,104,10083,14
2026-08-21,10.01 WIB,Ngada,176462,2,17,19,1333,27
2026-08-21,10.01 WIB,Nagekeo,170669,13,13,9,6221,70
2026-08-21,10.01 WIB,Ende,284165,2,5,67,3144,25
2026-08-21,10.01 WIB,Manggarai Barat,281692,2,2,4,1603,9
