tanggal,kabupaten,nama_puskesmas,triase_merah,triase_kuning,triase_hijau,triase_hitam,total,diagnosis_catatan
2026-08-22,Sikka,Puskesmas Watubaing,0,0,0,0,3,
2026-08-22,Sikka,Puskesmas Palue,0,0,0,0,2,
2026-08-22,Sikka,Puskesmas Nita,0,0,0,0,2,
2026-08-22,Sikka,Puskesmas Wolofeo,0,0,0,0,2,
2026-08-22,Sikka,Puskesmas Paga,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Mapitara,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Wualadu,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Waigate,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Boganatar,0,0,0,0,4,
2026-08-22,Sikka,Puskesmas Hewokloang,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Kopeta,0,0,0,0,0,
2026-08-22,Sikka,Puskesmas Lekebai,0,0,0,0,0,
2026-08-22,Sikka,Puskesmas Bola,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Nelle,0,0,0,0,0,
2026-08-22,Sikka,Puskesmas Nanga,0,0,0,0,0,
2026-08-22,Sikka,Puskesmas Beru,0,0,0,0,1,
2026-08-22,Sikka,Puskesmas Koting,0,0,0,0,3,
2026-08-22,Sikka,Puskesmas Magepanda,0,0,0,0,7,Kuning: anemia dan sesak napas.
2026-08-22,Manggarai Timur,Puskesmas Benteng Jawa,0,0,0,0,4,
2026-08-22,Manggarai Timur,Puskesmas Dampek,0,0,0,0,14,
2026-08-22,Manggarai Timur,Puskesmas Elar,0,0,0,0,30,
2026-08-22,Manggarai Timur,Puskesmas Lempang Paji,0,0,0,0,9,
2026-08-22,Manggarai Timur,Puskesmas Bea Muring,0,0,0,0,9,kuning: 1 orang diagnosa Hemiparise Sinestra susp...
2026-08-22,Manggarai Timur,Puskesmas Lawir,0,0,0,0,31,
2026-08-22,Manggarai Timur,Puskesmas Pota,0,0,0,0,5,
2026-08-22,Manggarai Timur,Puskesmas Weleng,0,0,0,0,0,Masih pelayanan
2026-08-22,Manggarai Timur,Puskesmas Kisol,0,0,0,0,34,
2026-08-22,Manggarai Timur,Puskesmas Lenang,0,0,0,0,12,
2026-08-22,Manggarai Timur,Puskesmas Mano,0,0,0,0,50,
2026-08-22,Manggarai Timur,Puskesmas Runus,0,0,0,0,5,
2026-08-22,Manggarai Timur,Puskesmas Wae Nenda,0,0,0,0,35,
2026-08-22,Manggarai Timur,Puskesmas Waelengga,0,0,0,0,4,
2026-08-22,Manggarai Timur,Puskesmas Watunggong,0,0,0,0,1,
2026-08-22,Manggarai Timur,Puskesmas Borong,0,0,0,0,4,
